Artists,time_played,genres
Gorillaz,687972697,electronic
Radiohead,663714033,rock
Elliott Smith,578661867,singer-songwriter
King Gizzard & The Lizard Wizard,574572831,psychedelic rock
The Beatles,486945425,classic rock
Aphex Twin,470797177,electronic
Car Seat Headrest,447529353,lo-fi
Father John Misty,424790230,folk
Death Grips,422320665,hip-hop
Kendrick Lamar,400726937,hip-hop
Green Day,384321888,punk rock
Pink Floyd,372553929,progressive rock
Kanye West,339695818,hip-hop
Nick Cave & The Bad Seeds,338466488,post-punk
LCD Soundsystem,332590100,electronic
Bladee,314350979,cloud rap
JPEGMAFIA,304248068,hip-hop
Oasis,302791897,britpop
Sufjan Stevens,282517250,folk
Machine Girl,280825429,breakcore
"Black Country, New Road",278357008,post-punk
"Tyler, The Creator",278054501,hip-hop
Have A Nice Life,261498239,shoegaze
Massive Attack,256447414,trip-hop
Lil Ugly Mane,241336994,hip-hop
Billie Eilish,230267241,pop
The Strokes,217137451,indie rock
Queens of the Stone Age,212837356,stoner rock
Arctic Monkeys,208513615,indie rock
Frank Ocean,204921322,rnb
KAYTRANADA,191204794,electronic
Nirvana,188291355,grunge
My Chemical Romance,185160084,rock
Charli xcx,181985975,pop
Yves Tumor,180337972,neo-psychedelia
Talking Heads,179423772,new wave
Animal Collective,174165019,experimental
Giles Corey,172241716,folk
Fiona Apple,172051266,female vocalists
Sonic Youth,169372832,experimental
Alex G,165588977,lo-fi
my bloody valentine,165362738,shoegaze
Nine Inch Nails,159214044,industrial
Arca,157889816,electronic
SOPHIE,150289565,bubblegum bass
Pixies,148288839,alternative rock
Jockstrap,147575198,glitch pop
Injury Reserve,147442773,experimental hip hop
slowthai,147047830,grime
The Velvet Underground,147019945,psychedelic
Mitski,144583433,indie rock
Neutral Milk Hotel,143967672,folk
BROCKHAMPTON,141968378,hip-hop
William Basinski,140092974,ambient
Jane Remover,136937726,hyperpop
Fontaines D.C.,136679702,post-punk
Xiu Xiu,136349393,experimental
Lorde,133940209,pop
MGMT,131940225,electronic
Prince,125770514,funk
Magdalena Bay,123889089,synthpop
Slowdive,122966309,shoegaze
Ecco2k,122116656,cloud rap
Joy Division,118591755,post-punk
Quadeca,118182898,folktronica
Dean Blunt,116872787,experimental
Beach House,116442332,dream pop
Elton John,116041181,pop
100 gecs,115861678,hyperpop
The Antlers,114885014,indie
Queen,114729291,classic rock
Travis Scott,111492435,hip-hop
The Prodigy,110377983,electronic
Harold Budd,109809912,ambient
IDLES,107932307,post-punk
Little Simz,107389905,rap
Ichiko Aoba,106911832,folk
Tom Waits,105706082,blues
black midi,105450403,math rock
Nujabes,104494082,hip-hop
Swans,101871519,post-punk
Childish Gambino,101616363,hip-hop
Earl Sweatshirt,99730353,hip-hop
FKA twigs,99059450,trip-hop
The Stone Roses,97543613,britpop
Blur,96954502,britpop
Godspeed You! Black Emperor,96950044,post-rock
C418,96608706,ambient
David Bowie,94744326,glam rock
Phoebe Bridgers,94536835,singer-songwriter
The Microphones,93891849,lo-fi
MF DOOM,93316143,hip-hop
Westside Gunn,92070681,rap
Rex Orange County,91149653,indie pop
Thundercat,88171488,funk
The Avalanches,87179562,electronic
Will Wood and the Tapeworms,85184184,cabaret
Daniel Johnston,84661220,lo-fi
Fishmans,84244397,dub
Brian Eno,83233273,ambient
Weyes Blood,82217250,folk
Coldplay,80916070,rock
Fall Out Boy,80120963,pop punk
Leslie Odom Jr.,79472309,broadway
Viagra Boys,79389218,post-punk
New Order,78910842,new wave
Playboi Carti,77712981,trap
Run The Jewels,76669465,hip-hop
Madvillain,76285788,hip-hop
Cocteau Twins,75952285,dream pop
Post Malone,75498355,hip-hop
Kero Kero Bonito,74975701,electropop
Crywank,74959296,folk punk
Lemon Demon,74603456,geek rock
Pink Siifu,73882193,jazz rap
Caroline Polachek,73509451,art pop
underscores,73480116,hyperpop
The Beach Boys,72803304,classic rock
Jordaan Mason,72157817,folk
TV Girl,71370247,indie pop
Cavetown,70517876,indie pop
Miles Davis,70327095,jazz
The Smashing Pumpkins,69221049,alternative rock
The Kinks,66225254,classic rock
Freddie Gibbs,65774628,hip-hop
The Magnetic Fields,65213886,indie pop
Blood Orange,64890372,chillwave
Erykah Badu,64395762,soul
Tame Impala,62464692,psychedelic rock
Grace Jones,61845260,disco
The Streets,61795011,hip-hop
PUP,61374553,punk rock
Paramore,61272721,rock
Pusha T,61222830,hip-hop
Nick Drake,60389508,folk
Yung Lean,59615679,hip-hop
Panchiko,58880457,indie rock
Vince Staples,58568893,hip-hop
Björk,58509469,electronic
Portishead,57700247,trip-hop
Genesis Owusu,57502556,funk
glass beach,57074531,indie rock
Beyoncé,56743814,rnb
Wilbur Soot,56312948,indie folk
Loyle Carner,56281344,hip-hop
Danny Brown,54140725,hip-hop
Alvvays,53469789,dream pop
Funkadelic,52608258,funk
Yard Act,51893411,post-punk
Sweet Trip,50983984,shoegaze
