,genres,time_played
0,hip-hop,82075.99
1,indie,75318.46
2,electronic,70196.39
3,rock,63447.21
4,alternative,45251.1
5,rap,43175.14
6,experimental,38797.13
7,folk,36143.27
8,post-punk,30371.53
9,singer-songwriter,29451.09
10,indie rock,28776.76
11,ambient,25566.31
12,classic rock,24517.7
13,lo-fi,22002.23
14,pop,21492.52
15,alternative rock,21372.54
16,british,18605.99
17,indie pop,17507.25
18,shoegaze,17413.73
19,hip hop,16903.11
20,psychedelic rock,16826.519999999997
21,psychedelic,16143.419999999998
22,dream pop,12372.12
23,crank wave,10904.19
24,post-rock,10613.41
25,punk rock,10514.27
26,trap,9650.92
27,britpop,9636.77
28,indie folk,9594.0
29,garage rock,9576.21
30,cloud rap,9563.27
31,art pop,9060.03
32,soul,8931.119999999999
33,idm,8696.35
34,experimental hip hop,7528.18
35,punk,7428.2699999999995
36,new wave,7312.860000000001
37,electropop,7152.21
38,experimental rap,7038.68
39,rnb,6961.76
40,trip-hop,6886.78
41,drone,6693.18
42,west coast,6678.78
43,synthpop,6347.52
44,ofwgkta,6296.41
45,progressive rock,6209.23
46,industrial,6191.06
47,female vocalists,5848.18
48,dance,5543.17
49,hyperpop,5438.0
50,funk,5400.88
51,drain,5239.18
52,gangsta rap,5118.52
53,glitch hop,5070.8
54,underground hip-hop,5006.87
55,80s,4966.93
56,japanese,4927.5
57,footwork,4680.42
58,digital hardcore,4680.42
59,breakcore,4680.42
60,bubblegum bass,4435.86
61,grunge,4291.87
62,chillout,4274.12
63,memphis rap,4022.28
64,stoner rock,3547.29
65,dub,3351.95
66,neo-psychedelia,3005.63
67,freak folk,2902.75
68,industrial rock,2653.57
69,deconstructed club,2504.83
70,jazz,2496.66
71,glitch pop,2459.59
72,grime,2450.8
73,pop punk,2356.56
74,60s,2317.1400000000003
75,digicore,2282.3
76,alternative rnb,2035.28
77,neo-soul,2031.6399999999999
78,folktronica,1969.71
79,emo rap,1969.71
80,slowcore,1914.75
81,hard rock,1912.15
82,techno,1839.63
83,piano,1830.17
84,minimalism,1830.17
85,post-hardcore,1798.87
86,blues,1761.77
87,math rock,1757.51
88,noise rock,1757.51
89,jazz hop,1741.57
90,madchester,1625.73
91,instrumental,1615.83
92,impressionism,1610.15
93,glam rock,1579.07
94,boom bap,1534.51
95,turntablism,1452.99
96,australian,1452.99
97,dark cabaret,1419.74
98,cabaret,1419.74
99,psychedelic folk,1370.29
100,show tunes,1324.54
101,broadway,1324.54
102,dance-punk,1323.15
103,anti-folk,1249.32
104,sadcore,1249.32
105,folk punk,1249.32
106,comedy,1243.39
107,geek rock,1243.39
108,jazz rap,1231.37
109,sound collage,1231.37
110,bebop,1172.12
111,trumpet,1172.12
112,chillwave,1081.51
113,disco,1030.75
114,acoustic,1006.49
115,sad,993.59
116,emo,951.24
117,power pop,951.24
118,uk,938.02
