master_metadata_album_artist_name,master_metadata_track_name,time_played
"Black Country, New Road",The Place Where He Inserted the Blade,1339.42
LCD Soundsystem,All My Friends,1161.14
Giles Corey,Blackest Bile,1060.3
Gorillaz,Souk Eye,978.32
King Gizzard & The Lizard Wizard,God Is in the Rhythm,946.21
Fishmans,DAYDREAM,939.8
Car Seat Headrest,Beach Life-In-Death,919.76
Massive Attack,Risingson,919.12
my bloody valentine,sometimes,909.96
Aphex Twin,#3,886.77
Lil Ugly Mane,styrofoam,879.19
Animal Collective,Fireworks,846.73
Pink Floyd,Echoes - 2011 Remastered Version,846.58
Neutral Milk Hotel,In the Aeroplane Over the Sea,843.64
LCD Soundsystem,Dance Yrself Clean,842.79
Aphex Twin,Windowlicker,819.86
Massive Attack,Dissolved Girl,801.12
Aphex Twin,#19,772.06
Erykah Badu,Didn't Cha Know,737.99
Have A Nice Life,Who Would Leave Their Son out in the Sun?,737.95
Have A Nice Life,Earthmover,730.35
Yves Tumor,Kerosene!,714.21
Sonic Youth,Teen Age Riot (Album Version),714.19
Car Seat Headrest,Bodys,712.51
Godspeed You! Black Emperor,The Dead Flag Blues,706.62
Have A Nice Life,"Holy Fucking Shit: 40,000",688.16
Elliott Smith,Alameda,659.9
Frank Ocean,White Ferrari,652.44
Gorillaz,Empire Ants (feat. Little Dragon),637.72
The Antlers,Epilogue,637.52
Radiohead,Motion Picture Soundtrack,636.82
Death Grips,Death Grips Is Online,627.95
Giles Corey,I'm Going to Do It,627.84
KAYTRANADA,Intimidated (feat. H.E.R.),626.65
Talking Heads,This Must Be the Place (Naive Melody),625.92
Sufjan Stevens,The Only Thing,620.38
King Gizzard & The Lizard Wizard,Head On/Pill,619.06
Clint Mansell,Lux Aeterna,617.82
King Gizzard & The Lizard Wizard,The River,617.23
Elliott Smith,Needle In The Hay,616.34
Jockstrap,Greatest Hits,612.4
Quadeca,tell me a joke,612.07
waveform*,Hello Goodbye,605.24
Kendrick Lamar,PRIDE.,604.57
Sufjan Stevens,Mystery of Love,601.35
Machine Girl,MRK90 MIX VOL 1 SIDE A,597.09
Fontaines D.C.,Roman Holiday,591.93
Childish Gambino,Redbone,591.46
Radiohead,Nude,589.82
Machine Girl,Ghost,585.84
Massive Attack,Angel,585.76
Carissa's Wierd,They'll Only Miss You When You Leave,583.42
Neutral Milk Hotel,Naomi,572.18
The Strokes,"Call It Fate, Call It Karma",569.66
Fugazi,I'm So Tired,568.83
Elliott Smith,A Fond Farewell,565.79
Have A Nice Life,I Don't Love,561.32
Elliott Smith,The Biggest Lie,557.78
Brian Eno,1/1 - Remastered 2004,538.96
Slowdive,Alison,537.06
The Prodigy,Breathe,533.55
Cocteau Twins,Cherry-coloured Funk,531.94
The Avalanches,Since I Left You,531.26
Nussy Andrews,Hag - Live Version,530.12
Pink Siifu,stay sane,528.43
Radiohead,"There, There",528.36
Aphex Twin,Fingerbib,521.31
Pixies,Debaser,521.3
Radiohead,How to Disappear Completely,517.24
The Velvet Underground,Heroin,516.96
Fiona Apple,I Want You To Love Me,515.03
LSD and the Search for God,Starting Over,512.05
Michael Cera,Clay Pigeons,509.89
Frank Ocean,Self Control,507.88
Alex G,Sarah,507.39
Nine Inch Nails,Hurt,506.91
Fiona Apple,Paper Bag,504.29
"Black Country, New Road",Sunglasses,502.59
Jockstrap,50/50 - Extended Mix,500.6
The Strokes,Ode To The Mets,498.94
D'Angelo,Untitled (How Does It Feel),498.47
The Streets,Has It Come to This?,497.77
Mojave 3,Love Songs on the Radio,495.93
Jockstrap,Concrete Over Water,490.5
Green Day,Jesus of Suburbia,488.71
Caroline Polachek,So Hot You're Hurting My Feelings,488.1
Father John Misty,God's Favorite Customer,480.27
George Clanton,Livin' Loose,479.04
Death Grips,On GP,477.76
Pietro Mascagni,Cavalleria Rusticana: Intermezzo (Raging Bull),477.27
Sweet Trip,Dsco,475.07
Julee Cruise,Falling,473.34
Aphex Twin,aisatsana [102],472.69
"Black Country, New Road",Basketball Shoes,472.15
Animal Collective,Summertime Clothes,472.13
Grizzly Bear,Two Weeks,470.98
Armand Hammer,Falling out the Sky,470.18
The Flying Pickets,Only You,468.32
Miles Davis Quintet,It Never Entered My Mind,464.49
The Microphones,The Moon,464.07
Weyes Blood,Andromeda,462.78
Slowdive,Souvlaki Space Station,461.64
Lil Ugly Mane,cursor,459.9
black midi,bmbmbm,458.54
Orange Juice,Rip It Up,455.79
Elliott Smith,Say Yes,453.7
Tom Waits,Goin' Out West - 2023 Remaster,452.34
Injury Reserve,Ttktv,451.51
my bloody valentine,when you sleep,451.51
Sinéad O'Connor,Nothing Compares 2 U,450.46
Jane Remover,movies for guys,450.43
Elliott Smith,Pictures Of Me,448.3
Have A Nice Life,Bloodhail,438.96
Pink Floyd,The Great Gig In The Sky - 2011 Remastered Version,438.08
Bladee,Lovenote,437.86
New Order,Blue Monday - 2020 Digital Master,435.87
Death Grips,No Love,433.52
Radiohead,True Love Waits,432.12
Slint,Washer,429.72
The Microphones,I Want Wind to Blow,426.56
Car Seat Headrest,Sober to Death,426.44
Death Grips,Billy Not Really,425.78
Nick Cave & The Bad Seeds,Lucy - 2010 Remastered Version,424.55
Joy Division,New Dawn Fades - 2007 Remaster,424.0
Pink Floyd,Time - 2011 Remastered Version,422.97
Slowdive,When the Sun Hits,422.28
Elliott Smith,Angeles,421.1
Wham!,Everything She Wants,420.52
Car Seat Headrest,Overexposed (Enjoy),420.12
LCD Soundsystem,Someone Great,417.3
Father John Misty,We Could Be Strangers,416.9
Beach House,Space Song,415.53
J Dilla,Don't Cry,414.71
JPEGMAFIA,Free The Frail,414.14
Green Day,Longview,412.46
Viagra Boys,In Spite of Ourselves,411.06
Elliott Smith,Miss Misery,411.05
SOPHIE,Immaterial,410.39
Radiohead,No Surprises,409.61
LCD Soundsystem,All I Want,406.09
Radiohead,House Of Cards,404.87
Nick Cave & The Bad Seeds,O Children,403.64
Home,Resonance,402.44
Gorillaz,Fire Flies,402.39
SOPHIE,Whole New World/Pretend World,402.11
Bowery Electric,Postscript,401.38
Jeff Buckley,"Lover, You Should've Come Over",398.44
Jarvis Cocker,Aline,397.24
Beach House,On the Sea,397.23
Lil Ugly Mane,Uneven Compromise,396.53
Leonard Cohen,One of Us Cannot Be Wrong,396.38
Joy Division,She's Lost Control - 2007 Remaster,396.23
